doy,tmax_C,tmin_C,precip_mm,rh_max_pct,rh_min_pct,solar_MJ_m2,tmax_C_7d_median,tmin_C_7d_median,precip_mm_7d_median,rh_max_pct_7d_median,rh_min_pct_7d_median,solar_MJ_m2_7d_median,tmax_C_30d_median,tmin_C_30d_median,precip_mm_30d_median,rh_max_pct_30d_median,rh_min_pct_30d_median,solar_MJ_m2_30d_median
43,37.3,23.1,0.0,32.0,10.0,22.29,37.357142857142854,22.82857142857143,0.0,30.714285714285715,9.857142857142858,22.64428571428571,37.266666666666666,22.866666666666667,0.0,36.4,11.533333333333333,22.60033333333333
44,37.4,23.3,0.0,32.0,11.0,22.82,37.357142857142854,23.014285714285716,0.0,30.285714285714285,9.857142857142858,22.63571428571429,37.32,22.98,0.0,37.666666666666664,11.866666666666667,22.616333333333333
45,37.3,22.5,0.0,29.0,9.0,22.47,37.31428571428571,23.12857142857143,0.0,31.714285714285715,10.142857142857142,22.59,37.36,23.096666666666668,0.0,38.63333333333333,12.2,22.619000000000003
46,37.4,23.3,0.0,24.0,9.0,22.81,37.34285714285714,23.099999999999998,0.0,34.714285714285715,10.857142857142858,22.555714285714284,37.413333333333334,23.23,0.0,39.833333333333336,12.533333333333333,22.63133333333333
47,37.2,23.5,0.0,29.0,10.0,22.89,37.42857142857143,23.285714285714285,0.0,38.42857142857143,11.285714285714286,22.6,37.45,23.38,0.0,41.166666666666664,12.9,22.650333333333332
48,37.1,22.8,0.0,44.0,12.0,22.32,37.48571428571428,23.37142857142857,0.0,39.57142857142857,11.428571428571429,22.687142857142852,37.50333333333334,23.493333333333332,0.0,42.233333333333334,13.1,22.676666666666666
49,37.7,23.2,0.0,53.0,15.0,22.29,37.542857142857144,23.514285714285712,0.0,42.857142857142854,11.857142857142858,22.79428571428571,37.57333333333334,23.646666666666665,0.0,43.333333333333336,13.466666666666667,22.715333333333334
50,37.9,24.4,0.0,58.0,13.0,22.6,37.614285714285714,23.6,0.0,45.57142857142857,12.142857142857142,22.832857142857144,37.63333333333333,23.810000000000002,0.0,44.333333333333336,13.866666666666667,22.749666666666666
51,37.8,23.9,0.0,40.0,12.0,23.43,37.699999999999996,23.599999999999998,0.0,47.142857142857146,12.428571428571429,22.835714285714285,37.68,23.956666666666667,0.0,45.666666666666664,14.266666666666667,22.762666666666668
52,37.7,23.5,0.0,52.0,12.0,23.22,37.871428571428574,23.642857142857142,0.0,46.57142857142857,12.428571428571429,23.05,37.720000000000006,24.089999999999996,0.0,47.03333333333333,14.666666666666666,22.784000000000002
53,37.9,23.9,0.0,43.0,11.0,23.08,37.9,23.785714285714285,0.0,48.0,12.714285714285714,23.16571428571429,37.75666666666667,24.226666666666667,0.0,48.5,15.033333333333333,22.811666666666667
54,37.8,23.5,0.0,40.0,12.0,22.91,37.885714285714286,23.842857142857145,0.0,49.142857142857146,13.857142857142858,23.18857142857143,37.8,24.373333333333335,0.0,50.0,15.466666666666667,22.822333333333336
55,38.3,23.1,0.0,40.0,12.0,23.82,37.885714285714286,24.014285714285712,0.0,52.714285714285715,15.285714285714286,23.080000000000002,37.830000000000005,24.490000000000002,0.0,51.6,15.966666666666667,22.814
56,37.9,24.2,0.0,63.0,17.0,23.1,37.885714285714286,24.3,0.0,54.142857142857146,16.571428571428573,22.922857142857143,37.85666666666667,24.63,0.0,52.833333333333336,16.433333333333334,22.805333333333337
57,37.8,24.8,0.0,66.0,21.0,22.76,37.9,24.585714285714285,0.0,57.714285714285715,18.0,22.885714285714283,37.876666666666665,24.783333333333335,0.0,53.93333333333333,16.933333333333334,22.812333333333335
58,37.8,25.1,0.0,65.0,22.0,22.67,37.89999999999999,24.957142857142856,0.0,61.57142857142857,19.428571428571427,22.854285714285716,37.88666666666666,24.886666666666667,0.0,55.13333333333333,17.5,22.814999999999998
