date,tmax_C,tmin_C,precip_mm,rh_max_pct,rh_min_pct,solar_MJ_m2,doy,p7_mm,p30_mm,dry_day,dry_streak_days,cdd_30_max,heat_day_35C,heat_7_count,heat_30_count,precip_clim_daily_mean_mm,p7_clim_mm,p30_clim_mm,p30_pct_of_normal,p30_anom_pct,p7_pct_of_normal,p7_anom_pct
2025-08-15,30.4,21.6,22.7,98,61,21.18,227,63.89999999999999,203.3,False,0,3.0,False,0,0,6.087096774193548,51.93548387096774,178.95806451612907,113.60203327441612,0.13602033274974898,123.0372670783763,0.23037267080301765
2025-08-16,26.3,22.0,22.6,98,81,10.64,228,79.1,225.8,False,0,3.0,False,0,0,7.790322580645161,54.73870967741935,179.54516129032262,125.76223072568699,0.25762230726243956,144.5046850112089,0.4450468501303575
2025-08-17,27.7,21.8,2.3,97,67,16.58,229,74.89999999999999,226.9,False,0,3.0,False,0,0,4.929032258064517,54.854838709677416,179.30967741935487,126.54085561041938,0.2654085561097707,136.54219347001893,0.36542193471841916
2025-08-18,28.6,22.5,5.1,96,65,19.09,230,78.7,232.0,False,0,3.0,False,0,0,12.14516129032258,61.29354838709678,187.63870967741937,123.64186494226502,0.23641864942797938,128.3985053397293,0.28398505341360797
2025-08-19,29.2,22.9,1.0,97,66,18.24,231,66.4,230.3,False,0,3.0,False,0,0,5.283870967741936,59.93225806451612,187.67741935483872,122.71055345414163,0.22710553454674456,110.79175412915954,0.10791754130828089
2025-08-20,30.2,22.6,0.7,93,59,21.87,232,63.49999999999999,221.7,True,2,3.0,False,0,0,6.238709677419355,58.5258064516129,186.52903225806455,118.85549252841648,0.1885549252895257,108.49914567416444,0.08499145675873071
2025-08-21,28.0,22.0,31.9,97,70,9.91,233,86.29999999999998,248.20000000000002,False,0,3.0,False,0,0,9.180645161290322,51.65483870967742,190.20000000000002,130.49421661340435,0.30494216613930103,167.07050521127883,0.6707050521321474
2025-08-22,27.2,21.9,6.5,99,75,11.92,234,70.1,244.4,False,0,3.0,False,0,0,6.480645161290322,52.04838709677419,189.78387096774193,128.77806673057773,0.2877806673110464,134.6823675214285,0.3468236752334976
2025-08-23,29.7,22.2,0.3,100,54,20.03,235,47.79999999999999,241.89999999999998,True,2,3.0,False,0,0,7.670967741935484,51.929032258064524,191.29032258064515,126.45699831299828,0.26456998313521046,92.04870170030219,-0.07951298297772123
2025-08-24,29.5,23.1,0.2,91,60,20.92,236,45.699999999999996,241.3,True,3,3.0,False,0,0,6.290322580645161,53.29032258064516,190.958064516129,126.36282243966465,0.2636282244018833,85.75665859403242,-0.1424334140409108
2025-08-25,29.6,23.1,1.3,92,64,19.98,237,41.89999999999999,240.2,False,0,3.0,False,0,0,5.829032258064517,46.97419354838709,191.31290322580645,125.55347598025661,0.25553475980779305,89.19791237277494,-0.10802087625096243
2025-08-26,30.2,21.7,7.5,98,58,19.05,238,48.39999999999999,217.89999999999998,False,0,3.0,False,0,0,9.980645161290322,51.670967741935485,196.51612903225802,110.88148391276474,0.10881483913273597,93.66962167380211,-0.06330378324262571
2025-08-27,29.5,22.5,3.2,95,60,19.46,239,50.89999999999999,219.6,False,0,3.0,False,0,0,9.55483870967742,54.98709677419355,200.41290322580642,109.57378315680583,0.09573783157304809,92.567171182172,-0.074328288160094
2025-08-28,31.0,22.0,1.3,98,57,22.85,240,20.299999999999997,220.29999999999998,False,0,3.0,False,0,0,10.270967741935484,56.07741935483871,205.73548387096773,107.07924362580836,0.07079243626294418,36.19995398002634,-0.6380004601819041
2025-08-29,30.9,23.3,0.4,93,60,17.44,241,14.199999999999996,220.6,True,2,3.0,False,0,0,9.948387096774193,59.54516129032258,211.10967741935485,104.49544648810596,0.04495446488579637,23.847445690048605,-0.76152554308272
2025-08-30,30.1,23.9,2.4,89,62,19.26,242,16.299999999999997,219.1,False,0,3.0,False,0,0,11.329032258064515,63.20322580645161,212.83548387096778,102.94336076582073,0.02943360766290581,25.78982289552417,-0.7421017710289364
2025-08-31,29.0,23.4,1.6,93,65,18.55,243,17.699999999999996,209.79999999999998,False,0,3.0,False,0,0,8.074193548387097,64.98709677419355,215.8612903225806,97.1920438747982,-0.02807956124738538,27.236175915395442,-0.7276382408306579
2025-09-01,29.7,23.0,1.5,94,63,21.65,244,17.899999999999995,211.2,False,0,3.0,False,0,0,7.380645161290323,66.53870967741935,218.65161290322578,96.5920155789156,-0.03407984420627057,26.90163378056239,-0.7309836621793473
2025-09-02,31.8,23.4,0.5,89,56,22.77,245,10.899999999999995,195.79999999999998,True,2,3.0,False,0,0,6.064516129032258,62.622580645161285,221.458064516129,88.41403018080452,-0.11585969818743931,17.405862050924846,-0.8259413794747829
2025-09-03,28.7,23.0,6.1,97,66,13.07,246,13.799999999999997,184.39999999999998,False,0,3.0,False,0,0,5.706451612903226,58.7741935483871,221.56129032258062,83.22753479666589,-0.16772465202882775,23.47969264504507,-0.7652030735325351
2025-09-04,29.0,23.1,3.0,96,63,14.56,247,15.499999999999996,181.89999999999998,False,0,3.0,False,0,0,6.864516129032259,55.36774193548387,223.78064516129032,81.2849564662227,-0.1871504353333044,27.994639943563364,-0.7200536005463054
2025-09-05,30.7,22.1,1.1,97,55,21.65,248,16.199999999999996,180.6,False,0,3.0,False,0,0,7.206451612903226,52.6258064516129,226.75161290322583,79.64662199614911,-0.2035337800340989,30.783376240680216,-0.6921662375741958
2025-09-06,31.6,22.8,0.4,97,58,20.86,249,14.199999999999998,174.2,True,2,3.0,False,0,0,9.23225806451613,50.52903225806452,231.85806451612905,75.13217207380362,-0.24867827925765093,28.102655770638922,-0.7189734422738202
2025-09-07,30.8,23.8,10.0,97,61,19.04,250,22.599999999999998,174.8,False,0,3.0,False,0,0,6.696774193548387,49.151612903225804,232.08387096774194,75.31759931026953,-0.2468240068929959,45.980179824489475,-0.5401982017347601
2025-09-08,30.6,23.5,1.2,96,61,19.09,251,22.299999999999997,168.6,False,0,3.0,False,0,0,8.73225806451613,50.50322580645162,235.8290322580645,71.49246994101574,-0.28507530058560226,44.15559529805261,-0.5584440469996732
2025-09-09,27.9,22.0,11.9,98,73,11.68,252,33.699999999999996,174.0,False,0,3.0,False,0,0,7.829032258064516,52.267741935483876,238.8451612903226,72.85054428537067,-0.2714945571421064,64.47571437264781,-0.3552428562543898
2025-09-10,30.2,22.4,1.8,98,63,21.71,253,29.399999999999995,174.5,False,0,3.0,False,0,0,6.038709677419354,52.6,239.1774193548387,72.95839233903006,-0.2704160766055185,55.89353612061038,-0.44106463877488483
2025-09-11,31.5,23.1,2.4,96,60,21.32,254,28.799999999999997,163.6,False,0,3.0,False,0,0,4.945161290322581,50.68064516129032,237.47741935483867,68.89076041156571,-0.311092395880132,56.82642734277792,-0.43173572655248954
2025-09-12,29.5,22.4,22.8,98,67,16.56,255,50.5,182.8,False,0,3.0,False,0,0,9.096774193548388,52.57096774193549,238.92903225806447,76.5080736617201,-0.2349192633786137,96.06062465301719,-0.03939375345080628
2025-09-13,26.2,22.2,98.4,99,80,7.31,256,148.5,272.1,False,0,3.0,False,0,0,8.345161290322581,51.68387096774194,231.2225806451613,117.67881806335916,0.17678818063791632,287.3236799345231,1.8732367993645798
2025-09-14,29.9,22.9,2.1,98,64,20.33,257,140.6,251.5,False,0,3.0,False,0,0,4.790322580645161,49.777419354838706,229.92580645161289,109.3831109609845,0.09383110961419418,282.4573909605624,1.8245739096257134
2025-09-15,30.4,22.4,3.4,98,67,20.13,258,142.79999999999998,232.3,False,0,3.0,False,0,0,5.148387096774194,46.193548387096776,227.28387096774193,102.20698856011123,0.022069885605511975,309.1340782055983,2.0913407820776313
2025-09-16,29.6,22.8,9.2,100,67,18.2,259,140.1,239.2,False,0,3.0,False,0,0,7.816129032258064,46.18064516129032,230.17096774193547,103.92275026933393,0.039227502697683915,303.37384743685067,2.0337384743901605
2025-09-17,30.2,23.0,3.2,99,64,18.99,260,141.5,237.3,False,0,3.0,False,0,0,6.993548387096774,47.13548387096774,225.01935483870966,105.45759504511882,0.05457595045563236,300.1984670070448,2.0019846700916637
2025-09-18,30.4,22.5,12.8,99,65,20.55,261,151.89999999999998,249.1,False,0,3.0,False,0,0,6.161290322580645,48.351612903225806,225.8967741935484,110.27160564296877,0.10271605643411426,314.1570484957376,2.141570484978058
2025-09-19,29.7,23.8,2.6,99,63,19.72,262,131.70000000000002,251.00000000000003,False,0,3.0,False,0,0,5.951612903225806,45.20645161290323,225.60967741935482,111.25409285184966,0.11254092852292893,291.33009846651123,1.9133009846872326
2025-09-20,30.5,22.5,4.0,98,68,17.16,263,37.29999999999998,223.10000000000002,False,0,3.0,False,0,0,4.367741935483871,41.229032258064514,220.7967741935484,101.04314286920797,0.0104314286966086,90.47022924434347,-0.09529770753231065
2025-09-21,29.1,23.4,6.6,99,69,14.35,264,41.79999999999998,223.20000000000002,False,0,3.0,False,0,0,4.270967741935484,40.70967741935484,218.58709677419353,102.1103273216308,0.02110327322088295,102.67828842853956,0.02678288430995972
2025-09-22,31.6,23.8,1.4,95,56,18.91,265,39.79999999999998,224.30000000000004,False,0,3.0,False,0,0,7.096774193548387,42.65806451612903,218.01290322580647,102.88381865483115,0.028838186552898132,93.30006049388057,-0.0669993950377522
2025-09-23,32.2,22.2,26.1,98,60,18.44,266,56.69999999999999,250.20000000000002,False,0,2.0,False,0,0,5.364516129032259,40.20645161290322,217.08709677419355,115.25328023484364,0.15253280235304276,141.02214377056185,0.4102214377304902
2025-09-24,31.2,21.7,5.0,98,61,21.61,267,58.499999999999986,253.90000000000003,False,0,2.0,False,0,0,5.622580645161291,38.83548387096774,216.88064516129032,117.06899885418932,0.17068998854650394,150.63543483290164,0.5063543483547659
2025-09-25,29.2,22.4,5.9,97,68,14.22,268,51.59999999999999,252.30000000000004,False,0,2.0,False,0,0,3.467741935483871,36.141935483870974,210.3677419354839,119.93283650692828,0.19932836507403637,142.77043912493224,0.42770439127699084
2025-09-26,30.7,22.6,0.8,100,63,21.51,269,49.79999999999998,249.9,True,2,2.0,False,0,0,3.332258064516129,33.5225806451613,204.14516129032262,122.41289405012327,0.2241289405061311,148.5565819817116,0.4855658198469463
2025-09-27,27.8,23.4,16.4,99,76,11.98,270,62.19999999999998,265.0,False,0,2.0,False,0,0,4.690322580645161,33.84516129032259,198.56451612903228,133.45788319321952,0.33457883193723126,183.77811665488258,0.8377811665783721
2025-09-28,29.8,22.2,2.8,98,67,19.35,271,58.39999999999998,267.4,False,0,2.0,False,0,0,3.338709677419355,32.91290322580645,191.95483870967743,139.30359963628567,0.3930359963680662,177.43800842350225,0.7743800842654058
2025-09-29,27.4,21.9,30.4,98,70,11.15,272,87.39999999999998,295.40000000000003,False,0,2.0,False,0,0,2.6129032258064515,28.42903225806452,183.2387096774194,161.2104781344628,0.6121047813500852,307.4322024174169,2.074322024209344
2025-09-30,31.9,22.5,2.0,97,60,22.72,273,63.29999999999998,295.8,False,0,2.0,False,0,0,3.393548387096774,26.458064516129035,178.5580645161291,165.66039780948898,0.6566039781004901,239.24652522870434,1.3924652523248389
2025-10-01,31.7,22.9,11.3,97,65,23.06,274,69.6,305.59999999999997,False,0,2.0,False,0,0,4.706451612903226,25.54193548387097,175.88387096774198,173.75100872911258,0.7375100872968112,272.4930537907965,1.7249305379471165
2025-10-02,29.5,23.9,0.2,95,66,14.82,275,63.899999999999984,305.3,True,2,2.0,False,0,0,4.567741935483871,26.64193548387097,174.38709677419357,175.07029226684662,0.7507029226742005,239.84743914828024,1.3984743915203373
2025-10-03,31.5,23.9,0.1,97,64,21.59,276,63.19999999999998,299.3,True,3,3.0,False,0,0,3.5032258064516126,26.81290322580645,172.18387096774197,173.82580512104678,0.7382580512162753,235.7074109632977,1.357074109670272
2025-10-04,32.9,23.5,5.8,96,56,22.92,277,52.59999999999999,302.1,False,0,3.0,False,0,0,3.393548387096774,25.516129032258064,168.7129032258065,179.06158581947741,0.7906158582007015,206.14412135728125,1.0614412136120037
2025-10-05,31.7,22.5,18.7,96,59,20.9,278,68.49999999999999,319.7,False,0,3.0,False,0,0,4.22258064516129,26.400000000000002,165.72903225806454,192.90524758525768,0.9290524758586107,259.4696969598685,1.5946969696365636
