doy,tmax_C,tmin_C,precip_mm,rh_max_pct,rh_min_pct,solar_MJ_m2,tmax_C_7d_std,tmin_C_7d_std,precip_mm_7d_std,rh_max_pct_7d_std,rh_min_pct_7d_std,solar_MJ_m2_7d_std,tmax_C_30d_std,tmin_C_30d_std,precip_mm_30d_std,rh_max_pct_30d_std,rh_min_pct_30d_std,solar_MJ_m2_30d_std
42,1.2485690734528065,2.485380912369348,0.34125007385087225,23.28832833329047,8.457483801820995,1.406311273456008,1.3602607407072187,2.2642605527024133,0.4659222892589145,23.939333590977157,8.705926878323046,1.610028376573778,1.4544476645215954,2.2756557599210776,0.5164411166150606,23.91205708920408,8.938440603832337,1.7720673517811074
43,1.6248010630916205,2.0697462313930157,1.7539816455434263,27.4343791854367,11.277439654517789,2.4560669669690527,1.3746856131126333,2.301952975274788,0.5536132702165993,24.68081594923,9.38783364428367,1.6741901899867575,1.4706584262933686,2.30201305324636,0.5229262156785967,23.81483752248246,9.053896679051993,1.8600316717386733
44,1.5790224279461604,2.146309661090479,0.2694079530401624,26.35493873449386,11.50857557771408,2.1632148517018965,1.4305073076080057,2.3240340046612644,0.7467407475853373,25.313458779779772,10.272479079713062,1.9157225097953305,1.4706628724712403,2.3167753984121475,0.533387795010771,23.777718265354157,9.09929598735178,1.887664789856632
45,1.385322446064416,2.5407009446848683,0.8968163523779398,25.03730549932773,10.29949367165557,1.6405104765456122,1.4786715704621112,2.282060349441345,0.8716835697066935,26.282414674500803,10.856897124206709,2.1297737083476713,1.4873520566725835,2.3307437760586662,0.560503692253407,23.76033608269297,9.180812748434773,1.9505751009307082
46,1.4273970595427918,2.416035141808085,0.6138368667037939,27.246268364400773,11.59235936722653,1.7871423696679474,1.5277711678773722,2.26590655565902,0.8674582106514377,26.392986263683856,11.153180647027625,2.2476957944078815,1.49360752639364,2.337098876117869,0.5543233139033832,23.716689819568014,9.185741080845554,1.9866814550952483
47,1.5811796331404193,2.240382071870107,1.3518923415811652,27.03927847863477,12.088206284755223,2.897357824914175,1.4998534281598719,2.314027791420323,0.665082563879384,25.909636611591594,10.85916229578012,2.2189343428467363,1.4989860809031283,2.33455871379479,0.6265970203943352,23.685337963967857,9.245016303599414,2.0122447995928665
48,1.5044092899965629,2.0758674828735115,0.8745997548494943,27.576404125921293,10.774721511756765,2.557812195179007,1.492369941862729,2.3622501569498495,0.9230297907170597,25.42370092879622,10.7491278569255,2.2574612648387635,1.5058997445401787,2.3290505186261026,0.6703400632354753,23.67554880837619,9.371860746848919,2.0305343508421028
49,1.5922662553596336,2.372304355893073,0.3116725604640815,24.062329457571874,10.531468461567421,2.2317658758774814,1.578958744508339,2.3417625782982476,1.4418125612715609,25.45743292286579,11.155852803820718,2.518676716717851,1.5001493012545377,2.327758329089421,0.6744674727709647,23.59469661771359,9.40532751091967,2.0706531240604122
50,1.4293768850691182,2.4065948817221368,0.33735211813904953,24.05093162079085,9.219311195785247,2.2547368060410355,1.6444715655880873,2.346253845259638,1.4577426553369623,25.234948103148604,11.051570685347164,2.5320701627381466,1.500816225936088,2.3155337812681025,0.6890247840001226,23.45786759860336,9.372695581758338,2.127616526741137
51,1.526638023866161,2.4838662197971657,2.0750385409038934,22.95338895492622,10.738334505731755,2.4329033056460863,1.6553997365852386,2.3633125690458168,1.3008827811264336,24.849219795580005,10.594650784913307,2.4734912701468947,1.5095609818270341,2.3166484792605817,0.7081321021200149,23.428868204756505,9.446042864974704,2.1617159879190972
52,1.9914440645836855,2.3972878941236564,4.528295746259447,25.273429457814775,13.14656829992208,3.4690186396992226,1.7257072037874914,2.425696886936066,1.1810715390629851,24.39215746335695,10.611410724882267,2.469607394582041,1.5032372639820202,2.334253245896585,0.7171532563431112,23.319753377730258,9.568560030676618,2.1986976377109815
53,1.8859868071010308,2.447474010537816,0.7253475251616045,25.688874626380432,10.862384537911662,1.8808964918100166,1.6621421704156905,2.4719058777476897,1.1571479074184068,24.247587867629242,10.374079587514066,2.396448930869816,1.4976065397601313,2.3659550138562984,0.7264909409406958,23.25615278140523,9.712628737267826,2.256584473090432
54,1.6576768301204785,2.359793138373358,0.2538732221074641,24.339180325654585,8.889766981718212,2.487305576775412,1.70339919786278,2.4819457060480015,1.1418796094430332,23.958079857231294,10.591440496072746,2.5785569111731013,1.4895294353030812,2.37227751100018,0.7458257573465483,23.149044078362174,9.884992454238509,2.301871794840759
55,1.9965615604123315,2.5125577081052564,0.03592106040535498,24.37696780035993,10.892041091539497,2.530625066225033,1.6695775111015136,2.469286984124043,0.9210703525135285,23.80002777136511,10.3905669374836,2.5084771764708824,1.4853290740667036,2.3793189407444353,0.8138153201129119,23.039979155969675,10.012013388614925,2.3394673728774458
56,1.1473110217570281,2.6957672915744393,0.1442071389520338,23.05034228747791,8.870150499990014,1.7196566298919038,1.640897898847333,2.481530371430279,0.4032108985182455,23.113930731576993,9.990538192290282,2.4322692536329593,1.4923465502520588,2.3840624257170715,0.8953564788824357,22.910901110309617,10.153426412989756,2.389066665051229
57,1.718176077198745,2.4768736798243163,0.2304740323114352,22.024375548005214,10.740837555695991,3.5294926681640324,1.5495082442292816,2.4589481051491515,0.3141551281726061,22.564358343123672,9.625429524434054,2.523503379580334,1.4967149538718683,2.376644695097683,0.9396734106586199,22.894867898216706,10.274488673135203,2.4589734337987816
